scope_of_practice,work_setting,employment_type,is_this_their_current_practice,employer_postcode,organisation_name,organisation_country
Direct clinical care or management – occupational health,Maternity unit or birth centre,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 1,Outside UK
Direct clinical care or management – children’s and neo-natal nursing,Ambulance service,Self employed,TRUE,testpostcode1,Test organisation 2,Outside UK
Education,Care home sector,Volunteering,FALSE,testpostcode1,Test organisation 1,England
Other,Maternity unit or birth centre,Volunteering,TRUE,testpostcode1,Test organisation 2,Northern Ireland
Direct clinical care or management – learning disabilities nursing,Specialist or other tertiary care including hospice,Volunteering,FALSE,testpostcode2,Test organisation 2,Outside UK
Policy,Military,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 1,England
Direct clinical care or management – midwifery,Care home sector,Volunteering,TRUE,testpostcode1,Test organisation 1,Wales
Direct clinical care or management – adult and general care nursing,Consultancy,Volunteering,TRUE,testpostcode2,Test organisation 1,England
Direct clinical care or management – adult and general care nursing,Consultancy,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 1,England
Direct clinical care or management – learning disabilities nursing,School,Employed via an agency,FALSE,testpostcode1,Test organisation 1,England
Direct clinical care or management – mental health nursing,Public health organisation,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 1,Scotland
Direct clinical care or management – health visiting,Inspectorate or regulator,Employed via an agency,TRUE,testpostcode2,Test organisation 2,Outside UK
Direct clinical care or management – health visiting,Insurance or legal,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 1,Wales
Direct clinical care or management – school nursing,Public health organisation,Volunteering,FALSE,testpostcode1,Test organisation 1,England
Direct clinical care or management – children’s and neo-natal nursing,School,Self employed,TRUE,testpostcode2,Test organisation 2,Wales
Education,Care home sector,Self employed,FALSE,testpostcode1,Test organisation 1,Outside UK
Direct clinical care or management – occupational health,University or other research facility,Volunteering,TRUE,testpostcode2,Test organisation 1,Wales
Direct clinical care or management – occupational health,Private domestic setting,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 1,Outside UK
Education,Cosmetic or aesthetic sector,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 2,England
Policy,University or other research facility,Volunteering,TRUE,testpostcode2,Test organisation 1,Scotland
Research,Public health organisation,Volunteering,TRUE,testpostcode1,Test organisation 2,England
Direct clinical care or management – school nursing,Occupational health,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 2,England
Direct clinical care or management – public health,Police,Volunteering,FALSE,testpostcode2,Test organisation 1,Northern Ireland
Direct clinical care or management – public health,Care home sector,Employed via an agency,TRUE,testpostcode2,Test organisation 2,Northern Ireland
Direct clinical care or management – mental health nursing,Policy organisation,Employed via an agency,TRUE,testpostcode1,Test organisation 2,Scotland
Direct clinical care or management – adult and general care nursing,Ambulance service,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 2,Scotland
Policy,Specialist or other tertiary care including hospice,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 1,Scotland
Direct clinical care or management – children’s and neo-natal nursing,"Community setting, including district nursing and community psychiatric nursing",Self employed,TRUE,testpostcode1,Test organisation 1,Northern Ireland
Quality assurance or inspection,Maternity unit or birth centre,Volunteering,TRUE,testpostcode2,Test organisation 1,Outside UK
Direct clinical care or management – adult and general care nursing,Occupational health,Employed via an agency,TRUE,testpostcode1,Test organisation 2,England
Direct clinical care or management – occupational health,Governing body or other leadership,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 1,Northern Ireland
Education,GP practice or other primary care,Self employed,FALSE,testpostcode1,Test organisation 1,Outside UK
Commissioning,Trade union or professional body,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 2,Wales
Policy,Prison,Volunteering,TRUE,testpostcode2,Test organisation 2,Wales
Quality assurance or inspection,Voluntary or charity sector,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 2,Northern Ireland
Direct clinical care or management – school nursing,Specialist or other tertiary care including hospice,Employed via an agency,FALSE,testpostcode1,Test organisation 2,Scotland
Direct clinical care or management – adult and general care nursing,Telephone or e-health advice,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 1,Scotland
Direct clinical care or management – children’s and neo-natal nursing,Care home sector,Volunteering,TRUE,testpostcode2,Test organisation 1,Scotland
Policy,Trade union or professional body,Volunteering,FALSE,testpostcode1,Test organisation 2,Outside UK
Direct clinical care or management – adult and general care nursing,Occupational health,Volunteering,FALSE,testpostcode1,Test organisation 2,Northern Ireland
Direct clinical care or management – occupational health,Insurance or legal,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 1,England
Direct clinical care or management – learning disabilities nursing,Specialist or other tertiary care including hospice,Employed via an agency,TRUE,testpostcode1,Test organisation 1,England
Direct clinical care or management – other,Voluntary or charity sector,Employed via an agency,FALSE,testpostcode1,Test organisation 1,Wales
Policy,Specialist or other tertiary care including hospice,Employed via an agency,TRUE,testpostcode2,Test organisation 1,Northern Ireland
Direct clinical care or management – learning disabilities nursing,Private domestic setting,Self employed,TRUE,testpostcode2,Test organisation 1,England
Direct clinical care or management – public health,Consultancy,Volunteering,TRUE,testpostcode1,Test organisation 1,Northern Ireland
Research,Governing body or other leadership,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 1,Outside UK
Direct clinical care or management – adult and general care nursing,Trade union or professional body,Employed via an agency,FALSE,testpostcode1,Test organisation 2,Northern Ireland
Direct clinical care or management – adult and general care nursing,Police,Self employed,TRUE,testpostcode1,Test organisation 2,Wales
Direct clinical care or management – health visiting,Military,Self employed,FALSE,testpostcode1,Test organisation 2,Outside UK
Quality assurance or inspection,Police,Employed via an agency,FALSE,testpostcode1,Test organisation 2,Outside UK
Direct clinical care or management – adult and general care nursing,Police,Volunteering,FALSE,testpostcode1,Test organisation 2,Outside UK
Commissioning,Voluntary or charity sector,Self employed,FALSE,testpostcode1,Test organisation 2,Scotland
Direct clinical care or management – other,Police,Employed via an agency,TRUE,testpostcode1,Test organisation 1,Northern Ireland
Quality assurance or inspection,Cosmetic or aesthetic sector,Self employed,TRUE,testpostcode2,Test organisation 1,Wales
Commissioning,Prison,Volunteering,TRUE,testpostcode2,Test organisation 2,England
Other,Police,Volunteering,FALSE,testpostcode2,Test organisation 2,Outside UK
Education,Specialist or other tertiary care including hospice,Self employed,TRUE,testpostcode1,Test organisation 1,Northern Ireland
Direct clinical care or management – midwifery,Governing body or other leadership,Volunteering,FALSE,testpostcode2,Test organisation 1,England
Direct clinical care or management – children’s and neo-natal nursing,Prison,Self employed,TRUE,testpostcode1,Test organisation 2,Wales
Commissioning,Trade union or professional body,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 2,England
Commissioning,Care home sector,Self employed,TRUE,testpostcode1,Test organisation 1,Outside UK
Direct clinical care or management – adult and general care nursing,Trade union or professional body,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 2,Outside UK
Education,Consultancy,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 2,Wales
Direct clinical care or management – public health,Policy organisation,Employed via an agency,TRUE,testpostcode2,Test organisation 2,England
Direct clinical care or management – children’s and neo-natal nursing,GP practice or other primary care,Self employed,FALSE,testpostcode1,Test organisation 2,Outside UK
Direct clinical care or management – children’s and neo-natal nursing,Ambulance service,Self employed,TRUE,testpostcode2,Test organisation 1,Outside UK
Direct clinical care or management – other,Telephone or e-health advice,Employed via an agency,TRUE,testpostcode2,Test organisation 2,Outside UK
Research,Hospital or other secondary care,Self employed,TRUE,testpostcode1,Test organisation 1,Wales
Direct clinical care or management – children’s and neo-natal nursing,GP practice or other primary care,Employed via an agency,TRUE,testpostcode2,Test organisation 2,Northern Ireland
Direct clinical care or management – other,Hospital or other secondary care,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 2,Scotland
Direct clinical care or management – occupational health,Public health organisation,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 1,England
Direct clinical care or management – adult and general care nursing,Military,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 1,Northern Ireland
Commissioning,Maternity unit or birth centre,Employed via an agency,TRUE,testpostcode2,Test organisation 1,Scotland
Direct clinical care or management – school nursing,GP practice or other primary care,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 2,Scotland
Direct clinical care or management – children’s and neo-natal nursing,Police,Volunteering,TRUE,testpostcode2,Test organisation 2,England
Direct clinical care or management – other,Trade union or professional body,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 1,Wales
Direct clinical care or management – children’s and neo-natal nursing,Telephone or e-health advice,Self employed,FALSE,testpostcode1,Test organisation 2,Scotland
Other,Telephone or e-health advice,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 2,Scotland
Commissioning,Consultancy,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 2,Wales
Direct clinical care or management – school nursing,Telephone or e-health advice,Self employed,FALSE,testpostcode2,Test organisation 1,Scotland
Direct clinical care or management – mental health nursing,Military,Self employed,FALSE,testpostcode1,Test organisation 2,Scotland
Quality assurance or inspection,Prison,Volunteering,FALSE,testpostcode2,Test organisation 1,Northern Ireland
Research,Telephone or e-health advice,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 2,Wales
Commissioning,Voluntary or charity sector,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 1,Outside UK
Other,Telephone or e-health advice,Self employed,TRUE,testpostcode2,Test organisation 1,Scotland
Direct clinical care or management – mental health nursing,Voluntary or charity sector,Volunteering,FALSE,testpostcode2,Test organisation 1,Scotland
Direct clinical care or management – public health,Inspectorate or regulator,Self employed,FALSE,testpostcode1,Test organisation 2,England
Direct clinical care or management – mental health nursing,Private domestic setting,Employed via an agency,TRUE,testpostcode1,Test organisation 1,Wales
Commissioning,Voluntary or charity sector,Employed via an agency,TRUE,testpostcode2,Test organisation 1,Wales
Direct clinical care or management – school nursing,School,Employed via an agency,TRUE,testpostcode2,Test organisation 2,Scotland
Direct clinical care or management – midwifery,Police,Employed via an agency,FALSE,testpostcode1,Test organisation 2,Scotland
Research,Occupational health,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 1,Scotland
Direct clinical care or management – health visiting,Consultancy,Volunteering,FALSE,testpostcode1,Test organisation 1,Outside UK
Education,Trade union or professional body,Volunteering,FALSE,testpostcode2,Test organisation 2,Wales
Quality assurance or inspection,Policy organisation,Employed via an agency,FALSE,testpostcode2,Test organisation 2,Outside UK
Direct clinical care or management – school nursing,Public health organisation,Volunteering,TRUE,testpostcode1,Test organisation 1,Northern Ireland
Direct clinical care or management – school nursing,Specialist or other tertiary care including hospice,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 2,Wales
Research,Prison,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 1,Wales
Research,"Community setting, including district nursing and community psychiatric nursing",Self employed,FALSE,testpostcode1,Test organisation 2,England
Direct clinical care or management – midwifery,Military,Self employed,TRUE,testpostcode1,Test organisation 1,Scotland
Direct clinical care or management – adult and general care nursing,School,Self employed,FALSE,testpostcode2,Test organisation 1,England
Direct clinical care or management – school nursing,"Community setting, including district nursing and community psychiatric nursing",Self employed,FALSE,testpostcode1,Test organisation 1,Scotland
Research,Voluntary or charity sector,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 1,Northern Ireland
Education,Governing body or other leadership,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 1,Scotland
Commissioning,Other,Self employed,TRUE,testpostcode1,Test organisation 1,Northern Ireland
Research,Inspectorate or regulator,Employed via an agency,FALSE,testpostcode2,Test organisation 2,England
Direct clinical care or management – mental health nursing,Specialist or other tertiary care including hospice,Employed via an agency,FALSE,testpostcode1,Test organisation 2,Outside UK
Other,Voluntary or charity sector,Volunteering,FALSE,testpostcode2,Test organisation 1,Wales
Commissioning,Police,Employed via an agency,TRUE,testpostcode2,Test organisation 1,Wales
Direct clinical care or management – health visiting,Public health organisation,Volunteering,TRUE,testpostcode1,Test organisation 1,Scotland
Direct clinical care or management – learning disabilities nursing,Military,Volunteering,FALSE,testpostcode1,Test organisation 2,Scotland
Direct clinical care or management – midwifery,Inspectorate or regulator,Employed via an agency,FALSE,testpostcode1,Test organisation 1,Wales
Other,Consultancy,Volunteering,TRUE,testpostcode2,Test organisation 1,Scotland
Direct clinical care or management – health visiting,Police,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 2,Scotland
Policy,Telephone or e-health advice,Volunteering,TRUE,testpostcode1,Test organisation 1,Northern Ireland
Direct clinical care or management – school nursing,Voluntary or charity sector,Volunteering,FALSE,testpostcode2,Test organisation 1,Wales
Direct clinical care or management – other,GP practice or other primary care,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 2,Scotland
Quality assurance or inspection,Care home sector,Self employed,FALSE,testpostcode1,Test organisation 1,Northern Ireland
Direct clinical care or management – learning disabilities nursing,Other,Employed via an agency,FALSE,testpostcode1,Test organisation 1,England
Direct clinical care or management – children’s and neo-natal nursing,Prison,Employed via an agency,TRUE,testpostcode1,Test organisation 2,Scotland
Direct clinical care or management – adult and general care nursing,Prison,Employed via an agency,FALSE,testpostcode1,Test organisation 2,Wales
Quality assurance or inspection,Hospital or other secondary care,Employed via an agency,TRUE,testpostcode2,Test organisation 1,Scotland
Direct clinical care or management – midwifery,School,Volunteering,FALSE,testpostcode1,Test organisation 2,Wales
Other,Trade union or professional body,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 2,England
Direct clinical care or management – mental health nursing,Voluntary or charity sector,Self employed,FALSE,testpostcode1,Test organisation 2,Outside UK
Direct clinical care or management – occupational health,Consultancy,Self employed,FALSE,testpostcode1,Test organisation 1,Northern Ireland
Direct clinical care or management – school nursing,Trade union or professional body,Employed via an agency,TRUE,testpostcode1,Test organisation 1,Wales
Direct clinical care or management – occupational health,Occupational health,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 2,Northern Ireland
Policy,Voluntary or charity sector,Volunteering,FALSE,testpostcode2,Test organisation 1,Wales
Other,Ambulance service,Volunteering,TRUE,testpostcode1,Test organisation 1,Outside UK
Direct clinical care or management – children’s and neo-natal nursing,Ambulance service,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 1,Scotland
Direct clinical care or management – learning disabilities nursing,Consultancy,Employed via an agency,FALSE,testpostcode1,Test organisation 2,England
Direct clinical care or management – other,Private domestic setting,Self employed,TRUE,testpostcode1,Test organisation 2,Outside UK
Education,"Community setting, including district nursing and community psychiatric nursing",Volunteering,TRUE,testpostcode1,Test organisation 1,Northern Ireland
Direct clinical care or management – school nursing,Insurance or legal,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 1,England
Direct clinical care or management – other,"Community setting, including district nursing and community psychiatric nursing",Volunteering,TRUE,testpostcode2,Test organisation 1,Northern Ireland
Direct clinical care or management – children’s and neo-natal nursing,Hospital or other secondary care,Self employed,TRUE,testpostcode1,Test organisation 1,England
Research,Hospital or other secondary care,Employed via an agency,FALSE,testpostcode2,Test organisation 1,Northern Ireland
Direct clinical care or management – school nursing,Police,Employed via an agency,TRUE,testpostcode1,Test organisation 1,Northern Ireland
Direct clinical care or management – health visiting,Ambulance service,Volunteering,FALSE,testpostcode1,Test organisation 2,Northern Ireland
Commissioning,Care home sector,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 1,England
Education,Prison,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 1,England
Direct clinical care or management – midwifery,Private domestic setting,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 1,Wales
Direct clinical care or management – school nursing,Other,Employed via an agency,FALSE,testpostcode1,Test organisation 2,England
Policy,Private domestic setting,Volunteering,TRUE,testpostcode1,Test organisation 1,Wales
Education,Telephone or e-health advice,Self employed,TRUE,testpostcode1,Test organisation 2,Scotland
Direct clinical care or management – public health,Public health organisation,Employed via an agency,FALSE,testpostcode2,Test organisation 2,England
Direct clinical care or management – occupational health,Inspectorate or regulator,Volunteering,TRUE,testpostcode1,Test organisation 1,Northern Ireland
Education,GP practice or other primary care,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 2,England
Other,University or other research facility,Employed via an agency,TRUE,testpostcode1,Test organisation 1,Outside UK
Research,Voluntary or charity sector,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 1,Northern Ireland
Education,Public health organisation,Employed via an agency,TRUE,testpostcode1,Test organisation 1,Wales
Direct clinical care or management – children’s and neo-natal nursing,Police,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 2,Northern Ireland
Direct clinical care or management – public health,Ambulance service,Volunteering,TRUE,testpostcode1,Test organisation 2,Scotland
Education,Care home sector,Self employed,TRUE,testpostcode1,Test organisation 2,Northern Ireland
Policy,GP practice or other primary care,Volunteering,FALSE,testpostcode2,Test organisation 2,Northern Ireland
Direct clinical care or management – health visiting,Military,Employed via an agency,FALSE,testpostcode2,Test organisation 2,Wales
Direct clinical care or management – school nursing,Telephone or e-health advice,Self employed,FALSE,testpostcode2,Test organisation 2,Northern Ireland
Direct clinical care or management – public health,Private domestic setting,Volunteering,TRUE,testpostcode1,Test organisation 2,Northern Ireland
Direct clinical care or management – school nursing,Military,Self employed,FALSE,testpostcode1,Test organisation 1,England
Other,Hospital or other secondary care,Volunteering,TRUE,testpostcode1,Test organisation 2,Wales
Direct clinical care or management – occupational health,Police,Self employed,TRUE,testpostcode1,Test organisation 1,Scotland
Quality assurance or inspection,Police,Self employed,TRUE,testpostcode2,Test organisation 1,Scotland
Education,Voluntary or charity sector,Employed via an agency,TRUE,testpostcode2,Test organisation 2,Scotland
Direct clinical care or management – health visiting,Police,Self employed,FALSE,testpostcode2,Test organisation 1,Scotland
Research,Ambulance service,Volunteering,TRUE,testpostcode2,Test organisation 1,Northern Ireland
Direct clinical care or management – other,Prison,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 2,Wales
Research,Hospital or other secondary care,Employed via an agency,FALSE,testpostcode2,Test organisation 1,England
Direct clinical care or management – learning disabilities nursing,Insurance or legal,Self employed,FALSE,testpostcode2,Test organisation 1,Outside UK
Direct clinical care or management – children’s and neo-natal nursing,Inspectorate or regulator,Employed via an agency,FALSE,testpostcode2,Test organisation 2,Wales
Direct clinical care or management – public health,Military,Employed via an agency,FALSE,testpostcode1,Test organisation 1,Outside UK
Education,University or other research facility,Employed via an agency,TRUE,testpostcode1,Test organisation 2,Outside UK
Policy,Telephone or e-health advice,Employed via an agency,TRUE,testpostcode2,Test organisation 1,England
Quality assurance or inspection,Prison,Volunteering,TRUE,testpostcode1,Test organisation 1,Wales
Direct clinical care or management – mental health nursing,Cosmetic or aesthetic sector,Employed via an agency,FALSE,testpostcode2,Test organisation 1,Outside UK
Direct clinical care or management – children’s and neo-natal nursing,Ambulance service,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 1,England
Direct clinical care or management – health visiting,Telephone or e-health advice,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 1,Northern Ireland
Quality assurance or inspection,Hospital or other secondary care,Volunteering,TRUE,testpostcode1,Test organisation 1,Outside UK
Education,Care home sector,Employed via an agency,TRUE,testpostcode1,Test organisation 1,Scotland
Direct clinical care or management – mental health nursing,Public health organisation,Employed via an agency,FALSE,testpostcode1,Test organisation 1,Scotland
Direct clinical care or management – adult and general care nursing,Hospital or other secondary care,Self employed,FALSE,testpostcode2,Test organisation 1,Outside UK
Direct clinical care or management – school nursing,Prison,Self employed,TRUE,testpostcode2,Test organisation 1,Northern Ireland
Direct clinical care or management – public health,Policy organisation,Volunteering,FALSE,testpostcode1,Test organisation 1,England
Education,Specialist or other tertiary care including hospice,Self employed,TRUE,testpostcode2,Test organisation 1,Wales
Education,Inspectorate or regulator,Self employed,TRUE,testpostcode1,Test organisation 2,Scotland
Other,Trade union or professional body,Volunteering,TRUE,testpostcode1,Test organisation 1,Outside UK
Direct clinical care or management – mental health nursing,Police,Employed via an agency,FALSE,testpostcode2,Test organisation 2,England
Education,Governing body or other leadership,Volunteering,FALSE,testpostcode2,Test organisation 1,Scotland
Direct clinical care or management – mental health nursing,School,Employed via an agency,TRUE,testpostcode1,Test organisation 1,Scotland
Quality assurance or inspection,Other,Volunteering,TRUE,testpostcode2,Test organisation 1,Wales
Direct clinical care or management – learning disabilities nursing,Inspectorate or regulator,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 2,Scotland
Direct clinical care or management – children’s and neo-natal nursing,Hospital or other secondary care,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 1,Outside UK
Direct clinical care or management – other,Public health organisation,Employed via an agency,TRUE,testpostcode2,Test organisation 1,England
Direct clinical care or management – children’s and neo-natal nursing,University or other research facility,Employed via an agency,FALSE,testpostcode1,Test organisation 1,Scotland
Direct clinical care or management – school nursing,GP practice or other primary care,Volunteering,TRUE,testpostcode2,Test organisation 2,Northern Ireland
Direct clinical care or management – other,Public health organisation,Volunteering,FALSE,testpostcode2,Test organisation 1,Scotland
Direct clinical care or management – adult and general care nursing,Maternity unit or birth centre,Employed via an agency,FALSE,testpostcode2,Test organisation 1,Scotland
Other,Other,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 1,England
Direct clinical care or management – children’s and neo-natal nursing,Trade union or professional body,Volunteering,TRUE,testpostcode2,Test organisation 1,Outside UK
Direct clinical care or management – learning disabilities nursing,Trade union or professional body,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 1,Northern Ireland
Direct clinical care or management – other,Consultancy,Self employed,FALSE,testpostcode1,Test organisation 1,England
Quality assurance or inspection,Specialist or other tertiary care including hospice,Volunteering,TRUE,testpostcode1,Test organisation 1,Scotland
Policy,School,Employed via an agency,FALSE,testpostcode1,Test organisation 2,Wales
Direct clinical care or management – school nursing,Occupational health,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 1,Scotland
Direct clinical care or management – midwifery,Public health organisation,Employed via an agency,FALSE,testpostcode1,Test organisation 1,England
Direct clinical care or management – other,"Community setting, including district nursing and community psychiatric nursing",Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 2,Wales
Quality assurance or inspection,Police,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 1,Wales
Direct clinical care or management – midwifery,Occupational health,Volunteering,FALSE,testpostcode2,Test organisation 1,Scotland
Direct clinical care or management – public health,Specialist or other tertiary care including hospice,Volunteering,FALSE,testpostcode1,Test organisation 1,Scotland
Direct clinical care or management – mental health nursing,Trade union or professional body,Volunteering,TRUE,testpostcode2,Test organisation 2,England
Direct clinical care or management – other,Voluntary or charity sector,Self employed,TRUE,testpostcode2,Test organisation 1,Outside UK
Direct clinical care or management – health visiting,Maternity unit or birth centre,Self employed,TRUE,testpostcode2,Test organisation 1,Outside UK
Research,Prison,Self employed,FALSE,testpostcode1,Test organisation 2,England
Direct clinical care or management – children’s and neo-natal nursing,GP practice or other primary care,Employed via an agency,FALSE,testpostcode1,Test organisation 1,Scotland
Other,University or other research facility,Employed via an agency,FALSE,testpostcode2,Test organisation 1,Outside UK
Direct clinical care or management – public health,Telephone or e-health advice,Self employed,FALSE,testpostcode1,Test organisation 1,England
Direct clinical care or management – adult and general care nursing,Hospital or other secondary care,Self employed,TRUE,testpostcode2,Test organisation 2,Scotland
Direct clinical care or management – adult and general care nursing,Policy organisation,Employed via an agency,FALSE,testpostcode1,Test organisation 2,Scotland
Direct clinical care or management – mental health nursing,Cosmetic or aesthetic sector,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 1,Scotland
Direct clinical care or management – midwifery,Hospital or other secondary care,Employed via an agency,TRUE,testpostcode1,Test organisation 2,England
Direct clinical care or management – learning disabilities nursing,Cosmetic or aesthetic sector,Self employed,TRUE,testpostcode2,Test organisation 2,Outside UK
Direct clinical care or management – mental health nursing,Policy organisation,Self employed,TRUE,testpostcode2,Test organisation 1,Scotland
Direct clinical care or management – public health,Insurance or legal,Self employed,FALSE,testpostcode1,Test organisation 2,Scotland
Direct clinical care or management – school nursing,University or other research facility,Employed via an agency,FALSE,testpostcode2,Test organisation 1,Scotland
Quality assurance or inspection,Other,Employed via an agency,TRUE,testpostcode2,Test organisation 2,Wales
Direct clinical care or management – school nursing,Prison,Volunteering,TRUE,testpostcode1,Test organisation 1,Wales
Direct clinical care or management – other,Voluntary or charity sector,Employed via an agency,FALSE,testpostcode2,Test organisation 1,England
Direct clinical care or management – public health,Public health organisation,Volunteering,FALSE,testpostcode2,Test organisation 2,Northern Ireland
Direct clinical care or management – occupational health,University or other research facility,Volunteering,FALSE,testpostcode2,Test organisation 2,Northern Ireland
Direct clinical care or management – public health,Care home sector,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 2,Wales
Direct clinical care or management – midwifery,Governing body or other leadership,Self employed,TRUE,testpostcode1,Test organisation 2,England
Research,"Community setting, including district nursing and community psychiatric nursing",Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 2,Scotland
Other,Military,Volunteering,FALSE,testpostcode1,Test organisation 1,Outside UK
Direct clinical care or management – children’s and neo-natal nursing,Cosmetic or aesthetic sector,Self employed,FALSE,testpostcode1,Test organisation 1,Scotland
Direct clinical care or management – adult and general care nursing,Hospital or other secondary care,Volunteering,FALSE,testpostcode2,Test organisation 2,England
